clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd,latitude,longitude,GDD,Cumulative_GDD
54,5/19/2023,3.3,56,452,341,121,920,946,60.08,1684537200,2.9,273,7.7,1684476000,44.96,1684490400,0,0,988,final,58,1019,0,0,115,1348,10858,8188,2753,11.4,1684472400,273,13.9,5.4,44.993,-93.175,5.04,5.04
9,5/20/2023,4.7,56,453,342,121,920,948,73.04,1684620000,9.5,262,4.9,1684612800,44.96,1684573200,0,0,992,final,51,1023,0,0,342,1351,10883,8216,8212,15.9,1684558800,262,8,2.3,44.993,-93.175,11.52,16.56
16,5/21/2023,6.3,56,454,343,121,920,949,78.08,1684706400,9.5,170,3.7,1684684800,53.06,1684663200,0,0,988,final,47,1019,0,0,343,1354,10907,8243,8242,19.2,1684645200,170,6,2.2,44.993,-93.175,15.57,32.13
27,5/22/2023,7.5,57,455,345,121,920,951,82.04,1684789200,8.7,157,5.5,1684792800,57.92,1684753200,0,0,986,final,42,1016,0,0,343,1357,10930,8269,8237,21.6,1684731600,157,8.8,3,44.993,-93.175,19.98,52.11
9,5/23/2023,8.5,57,456,346,121,920,952,82.94,1684879200,8.9,166,4.6,1684861200,60.98,1684839600,0,0,987,final,42,1017,0,0,345,1359,10952,8294,8291,22.9,1684818000,166,8,2.7,44.993,-93.175,21.96,74.07
45,5/24/2023,9.2,57,457,347,121,920,953,75.02,1684954800,3.5,83,8.4,1684972800,55.94,1684926000,0,0,991,final,53,1021,0,0,196,1362,10973,8319,4715,19.3,1684904400,83,12.9,5.4,44.993,-93.175,15.48,89.55
43,5/25/2023,2.4,57,458,348,121,920,954,75.92,1685048400,9.5,128,7.2,1685059200,57.92,1685012400,0,0,993,final,33,1023,0,0,345,1364,10992,8342,8279,19.1,1684990800,128,10.4,5.6,44.993,-93.175,16.92,106.47
12,5/26/2023,0.4,57,459,349,121,920,955,78.98,1685142000,9.7,148,4.6,1685145600,53.96,1685098800,0,0,994,final,29,1024,0,0,349,1367,11011,8365,8365,19.7,1685077200,148,8,3.7,44.993,-93.175,16.47,122.94
0,5/27/2023,1.2,57,460,349,121,920,956,82.94,1685221200,9.7,149,5.7,1685214000,55.04,1685185200,0,0,992,final,29,1022,0,0,349,1369,11028,8386,8386,21.3,1685163600,149,9.8,4,44.993,-93.175,18.99,141.93
55,5/28/2023,4.7,57,460,350,121,920,957,84.02,1685300400,5.7,131,7,1685322000,57.92,1685271600,0,0,988,final,34,1018,0,0,208,1371,11045,8407,4996,21.8,1685250000,131,12.5,4.3,44.993,-93.175,20.97,162.9
60,5/29/2023,6.3,57,461,351,121,920,958,87.08,1685394000,9.7,165,5.5,1685401200,64.94,1685343600,0,0,983,final,33,1013,0,0,326,1373,11061,8427,7818,24.4,1685336400,165,10.8,3.9,44.993,-93.175,25.47,188.37
75,5/30/2023,13.4,57,461,352,121,920,959,89.06,1685484000,8.1,172,7.2,1685466000,64.04,1685448000,4.5,4.5,980,final,52,1010,0,0,224,1375,11075,8446,5374,24.5,1685422800,172,11.4,4.5,44.993,-93.175,25.02,213.39
53,5/31/2023,14.7,57,462,353,121,920,960,89.06,1685574000,6.8,161,6.4,1685563200,66.02,1685527200,0,0,981,final,52,1011,0,0,243,1377,11089,8464,5829,25.9,1685509200,161,13.1,4.3,44.993,-93.175,26.01,239.4
